證券代碼	年月日	當日均價(元)	當日成交量
006208 富邦台50	20200116	53.8612	724.975
006208 富邦台50	20200117	53.8949	456.98
0050 元大台灣50	20200117	97.4006	8121.13
0050 元大台灣50	20200120	97.8039	6969.94
006208 富邦台50	20200120	54.1354	725.025
006208 富邦台50	20200130	52.1237	1781.18
0050 元大台灣50	20200130	93.4247	32262.9
0050 元大台灣50	20200131	90.2376	22497.8
006208 富邦台50	20200131	51.6954	2139.66
0050 元大台灣50	20200203	88.5791	15823.6
006208 富邦台50	20200203	50.7527	1051.86
0050 元大台灣50	20200204	90.3713	8904.47
006208 富邦台50	20200204	51.7616	787.316
0050 元大台灣50	20200205	90.8807	6701.51
006208 富邦台50	20200205	52.0214	821.675
0050 元大台灣50	20200206	91.8319	10696.5
006208 富邦台50	20200206	52.6254	910.667
0050 元大台灣50	20200207	91.2452	9554.83
006208 富邦台50	20200207	52.2341	887.071
0050 元大台灣50	20200210	90.4939	7308.91
006208 富邦台50	20200210	51.9296	590.764
0050 元大台灣50	20200211	91.6816	5115.4
006208 富邦台50	20200211	52.5175	613.345
006208 富邦台50	20200212	52.93	667.615
0050 元大台灣50	20200212	92.4745	5640.12
0050 元大台灣50	20200213	92.9646	5754.32
006208 富邦台50	20200213	53.132	772.231
0050 元大台灣50	20200214	92.9678	4988.17
006208 富邦台50	20200214	53.1655	626.241
0050 元大台灣50	20200217	92.2792	6266.21
006208 富邦台50	20200217	52.8214	815.343
006208 富邦台50	20200218	52.273	1256.36
0050 元大台灣50	20200218	91.2381	12529.4
0050 元大台灣50	20200219	91.8852	7947.01
006208 富邦台50	20200219	52.5926	636.465
0050 元大台灣50	20200220	91.7152	6538.34
006208 富邦台50	20200220	52.4157	715.251
0050 元大台灣50	20200221	91.3124	5401.19
006208 富邦台50	20200221	52.2915	723.749
0050 元大台灣50	20200224	90.0402	13571.9
006208 富邦台50	20200224	51.6402	1062.8
0050 元大台灣50	20200225	90.0635	8840.1
006208 富邦台50	20200225	51.5587	549.384
0050 元大台灣50	20200226	89.2905	15256
006208 富邦台50	20200226	51.2252	1945.06
0050 元大台灣50	20200227	88.7226	24688.1
006208 富邦台50	20200227	50.8463	1321.47
006208 富邦台50	20200302	50.118	1291.06
0050 元大台灣50	20200302	87.3937	27894.6
006208 富邦台50	20200303	50.8225	1145.81
0050 元大台灣50	20200303	88.5881	11071.9
0050 元大台灣50	20200304	88.8582	8437.42
006208 富邦台50	20200304	50.8426	838.133
0050 元大台灣50	20200305	90.0363	9785.48
006208 富邦台50	20200305	51.4011	723.439
0050 元大台灣50	20200306	88.6448	17096.4
006208 富邦台50	20200306	50.7288	1296.32
0050 元大台灣50	20200309	86.1701	27734.4
006208 富邦台50	20200309	49.5187	1890.28
0050 元大台灣50	20200310	85.3943	23784.3
006208 富邦台50	20200310	48.7871	1950.29
0050 元大台灣50	20200311	85.9522	15306.6
006208 富邦台50	20200311	49.1641	1630.22
006208 富邦台50	20200312	47.3643	2376.51
0050 元大台灣50	20200312	82.4401	44910.2
0050 元大台灣50	20200313	77.5716	53704.9
006208 富邦台50	20200313	44.1858	2824.16
006208 富邦台50	20200316	44.9473	1615.4
0050 元大台灣50	20200316	78.4566	33814
0050 元大台灣50	20200317	75.1385	51145.8
006208 富邦台50	20200317	43.0616	992.522
006208 富邦台50	20200318	42.4582	1366.48
0050 元大台灣50	20200318	74.0198	46790.5
006208 富邦台50	20200319	39.7194	1354.04
0050 元大台灣50	20200319	69.2149	68038.3
006208 富邦台50	20200320	41.6274	1630.22
0050 元大台灣50	20200320	72.5122	40910.5
0050 元大台灣50	20200323	71.2129	22465.1
006208 富邦台50	20200323	40.9943	822.646
006208 富邦台50	20200324	42.6593	960.58
0050 元大台灣50	20200324	74.5565	26956.8
006208 富邦台50	20200325	44.0582	1566
0050 元大台灣50	20200325	76.9469	32687.8
0050 元大台灣50	20200326	76.8847	19215.7
006208 富邦台50	20200326	44.1312	1440.9
006208 富邦台50	20200327	44.4657	1605.23
0050 元大台灣50	20200327	77.74	21953.9
006208 富邦台50	20200330	43.0663	780.257
0050 元大台灣50	20200330	75.0791	13605.9
0050 元大台灣50	20200331	76.3875	9764
006208 富邦台50	20200331	43.724	1065.67
006208 富邦台50	20200401	43.664	1108.25
0050 元大台灣50	20200401	76.1921	9948.02
0050 元大台灣50	20200406	76.6514	12207.6
006208 富邦台50	20200406	43.866	1988.69
0050 元大台灣50	20200407	78.4764	15302
